County,2021,2022,2023
Sutter,"53,513","51,756","53,900"
Tehama,"48,029","46,286","49,265"
Trinity,"35,829","35,925","38,243"
Tulare,"49,064","46,995","48,253"
Tuolumne,"52,854","52,565","56,239"
Ventura,"74,252","73,994","78,091"
Yolo,"66,181","63,544","67,778"
Yuba,"49,250","48,398","50,587"


Adams,"53,144","56,659","58,851"
Alamosa,"44,180","44,109","44,666"
Arapahoe,"73,433","77,902","81,414"
Archuleta,"53,303","55,462","58,325"
Baca,"50,041","58,111","60,686"
Bent,"35,090","34,435","34,152"
Boulder,"92,317","95,454","100,242"
Broomfield,"81,234","85,815","90,712"
Chaffee,"62,006","62,680","66,503"
Cheyenne,"68,557","80,140","83,285"
Clear Creek,"72,334","74,570","78,739"
Conejos,"45,732","45,375","46,523"
Costilla,"41,771","40,297","40,830"
Crowley,"25,108","24,084","25,013"
Custer,"51,112","52,328","53,797"
Delta,"46,230","48,013","50,137"
Denver,"103,320","114,769","116,530"
Dolores,"42,066","40,011","40,158"
Douglas,"89,702","97,353","102,928"
Eagle,"102,019","117,317","128,041"
Elbert,"71,317","73,541","76,970"
El Paso,"59,507","61,990","65,715"
Fremont,"41,689","42,300","43,608"
Garfield,"62,077","66,646","71,629"
Gilpin,"62,704","66,634","69,394"
Grand,"62,941","69,728","73,848"
Gunnison,"61,661","65,783","70,391"
Hinsdale,"59,426","63,872","70,643"
Huerfano,"49,354","46,852","49,718"
Jackson,"61,509","66,407","68,367"
Jefferson,"75,279","81,635","85,164"
Kiowa,"68,632","70,125","74,467"
Kit Carson,"53,091","52,167","55,134"
Lake,"48,591","51,267","53,990"
La Plata,"65,107","71,568","76,558"
Larimer,"64,885","67,788","71,359"
Las Animas,"44,998","45,939","47,010"
Lincoln,"37,772","40,407","41,629"
Logan,"49,769","52,895","55,137"
Mesa,"52,891","55,220","57,653"
Mineral,"67,545","71,242","76,234"
Moffat,"46,205","49,289","52,090"
Montezuma,"51,147","51,125","53,105"
Montrose,"50,406","53,361","55,673"
Morgan,"52,132","53,164","53,136"
Otero,"42,380","42,753","44,018"
Ouray,"82,786","83,739","88,367"
Park,"57,733","58,892","61,974"
Phillips,"51,382","57,212","58,035"
Pitkin,"189,479","232,970","255,839"
Prowers,"45,707","46,746","49,097"
Pueblo,"46,844","47,031","48,891"
Rio Blanco,"56,067","60,200","63,017"
Rio Grande,"55,439","56,587","60,174"
Routt,"106,220","121,979","131,507"
Saguache,"43,617","41,131","42,621"
San Juan,"57,626","51,290","55,971"
San Miguel,"123,197","144,355","156,403"
Sedgwick,"52,440","56,862","54,706"
Summit,"84,785","97,495","105,034"
Teller,"62,593","62,951","67,575"
Washington,"47,526","53,868","49,437"
Weld,"56,330","59,270","62,532"
