County,2021,2022,2023
Monroe,"44,562","43,271","44,517"
Montgomery,"42,537","41,480","42,976"
Neshoba,"45,174","46,932","47,423"
Newton,"41,623","41,079","41,357"
Noxubee,"44,879","42,953","44,881"
Oktibbeha,"39,966","39,730","42,241"
Panola,"42,503","41,496","43,391"
Pearl River,"43,747","44,036","47,020"
Perry,"37,992","37,339","40,688"
Pike,"38,123","37,095","39,426"
Pontotoc,"42,985","42,069","43,359"
Prentiss,"38,526","38,145","39,413"
Quitman,"42,720","42,372","44,213"
Rankin,"52,813","53,715","56,864"
Scott,"38,297","38,932","39,510"
Sharkey,"53,584","54,048","57,998"
Simpson,"44,917","46,256","47,645"
Smith,"45,339","48,639","47,687"
Stone,"39,764","40,156","42,642"
Sunflower,"38,008","36,927","39,498"
Tallahatchie,"43,093","42,278","44,389"
Tate,"45,157","45,107","47,426"
Tippah,"44,606","42,729","45,880"
Tishomingo,"41,999","42,481","45,018"
Tunica,"43,421","46,504","48,516"
Union,"41,673","41,120","42,339"
Walthall,"38,818","38,277","38,989"
Warren,"48,887","49,499","52,095"
Washington,"45,860","45,608","48,299"
Wayne,"43,106","46,037","46,161"
Webster,"45,217","44,320","47,027"
Wilkinson,"37,071","35,413","38,503"
Winston,"43,700","43,721","46,075"
Yalobusha,"42,995","42,201","44,057"
Yazoo,"37,577","36,682","38,819"


Adair,"37,815","37,520","40,269"
Andrew,"50,674","52,318","54,504"
Atchison,"54,100","57,288","56,745"
Audrain,"43,893","46,286","49,114"
Barry,"42,077","45,526","45,250"
Barton,"42,961","46,090","46,659"
Bates,"47,653","48,714","51,168"
Benton,"43,416","44,334","46,819"
Bollinger,"45,253","46,372","48,705"
Boone,"54,540","56,622","60,158"
Buchanan,"46,759","49,206","51,741"
Butler,"43,408","43,566","46,048"
Caldwell,"45,439","46,313","47,876"
Callaway,"45,500","47,258","50,652"
Camden,"54,589","51,230","55,182"
Cape Girardeau,"48,579","50,857","54,568"
Carroll,"57,121","60,960","62,919"
Carter,"45,891","47,621","50,444"
Cass,"54,329","56,921","59,720"
Cedar,"36,670","37,298","40,183"
Chariton,"52,374","52,845","55,540"
Christian,"48,623","50,099","52,867"
Clark,"43,978","45,222","46,719"
Clay,"55,740","57,103","60,043"
Clinton,"48,067","50,669","52,880"
Cole,"55,033","57,521","61,479"
Cooper,"49,888","51,713","54,107"
Crawford,"43,778","45,423","48,462"
Dade,"41,795","44,651","46,071"
Dallas,"39,098","40,651","42,354"
Daviess,"38,418","38,913","40,834"
DeKalb,"35,861","38,175","45,223"
Dent,"41,641","42,665","45,672"
Douglas,"38,086","38,009","39,205"
Dunklin,"43,924","44,713","46,434"
Franklin,"52,261","53,883","57,522"
Gasconade,"46,315","47,736","51,240"
Gentry,"51,175","49,365","52,620"
Greene,"51,270","53,029","56,350"
Grundy,"41,357","41,625","44,052"
Harrison,"43,860","44,413","46,633"
Henry,"48,660","49,923","53,157"
Hickory,"39,540","39,952","43,094"
Holt,"58,289","63,136","63,237"
Howard,"48,210","50,084","52,740"
Howell,"40,479","41,548","44,649"
Iron,"41,100","42,167","45,057"
Jackson,"52,496","54,527","57,518"
Jasper,"43,630","45,253","47,246"
Jefferson,"49,916","52,016","55,195"
Johnson,"46,838","44,505","46,540"
Knox,"44,274","45,633","49,243"
Laclede,"42,677","45,468","48,249"
Lafayette,"49,783","51,912","54,277"
Lawrence,"40,155","41,026","41,827"
Lewis,"41,338","43,180","45,237"
Lincoln,"48,594","49,973","53,300"
Linn,"45,745","46,399","49,005"
Livingston,"48,193","49,702","51,058"
McDonald,"35,417","39,050","38,681"
Macon,"48,171","53,738","54,255"
Madison,"41,017","42,468","45,426"
Maries,"41,417","41,866","45,031"
Marion,"47,964","49,833","52,951"
Mercer,"40,303","39,163","41,562"
Miller,"43,911","44,018","47,083"
Mississippi,"41,728","42,838","43,102"
Moniteau,"45,724","49,421","51,834"
Monroe,"48,362","50,311","56,061"
Montgomery,"49,816","51,075","54,811"
Morgan,"46,549","48,267","48,877"
New Madrid,"49,626","52,622","52,752"
Newton,"45,181","47,177","48,357"
Nodaway,"40,139","42,191","44,338"
Oregon,"43,484","44,052","47,150"
Osage,"52,448","53,863","56,696"
Ozark,"39,995","40,904","43,767"
Pemiscot,"46,541","47,653","49,792"
Perry,"48,502","49,887","53,134"
Pettis,"43,794","45,600","47,237"
Phelps,"44,020","45,095","48,382"
Pike,"41,451","42,720","45,058"
Platte,"66,120","69,055","73,531"
Polk,"41,753","43,561","46,061"
Pulaski,"45,207","44,535","48,289"
Putnam,"43,984","43,584","47,948"
Ralls,"47,147","48,358","52,110"
Randolph,"48,288","51,776","55,106"
Ray,"48,197","49,355","51,625"
Reynolds,"41,637","41,157","43,956"
Ripley,"45,296","45,650","48,138"
St. Charles,"62,674","65,108","69,693"
St. Clair,"37,251","37,406","40,376"
Ste. Genevieve,"47,157","47,800","50,899"
St. Francois,"41,360","42,680","45,576"
St. Louis,"88,954","94,292","101,151"
Saline,"45,367","48,975","51,636"
Schuyler,"40,585","42,034","45,054"
Scotland,"48,157","51,649","53,928"
Scott,"49,005","50,619","53,227"
Shannon,"41,557","41,031","43,901"
Shelby,"49,346","50,276","52,995"
Stoddard,"45,891","47,729","47,497"
Stone,"47,324","49,050","51,791"
Sullivan,"46,998","45,656","50,451"
Taney,"44,646","45,972","48,862"
Texas,"36,802","36,954","39,031"
Vernon,"43,230","44,795","47,572"
Warren,"50,116","51,471","55,061"
Washington,"37,593","38,108","40,328"
Wayne,"41,987","42,497","46,365"
Webster,"41,464","42,105","43,890"
Worth,"42,972","43,284","47,533"
Wright,"39,042","38,855","40,817"
St. Louis City,"54,876","59,502","63,316"


Beaverhead,"57,932","58,552","59,595"
Big Horn,"36,510","38,423","39,605"
Blaine,"33,635","38,168","38,079"
Broadwater,"50,853","52,070","55,371"
Carbon,"64,711","64,355","68,244"
Carter,"39,929","45,141","44,997"
Cascade,"54,912","57,157","60,126"
Chouteau,"42,004","55,247","56,448"
Custer,"50,230","53,754","55,578"
Daniels,"58,569","65,226","60,973"
Dawson,"48,702","51,309","53,091"
Deer Lodge,"47,097","48,445","51,110"
Fallon,"50,114","51,311","55,859"
Fergus,"48,829","53,498","54,647"
Flathead,"61,756","64,741","68,725"
Gallatin,"75,588","81,730","87,254"
Garfield,"37,187","51,132","48,179"
Glacier,"41,377","46,121","48,573"
Golden Valley,"65,937","55,179","55,872"
Granite,"60,334","51,625","53,768"
Hill,"51,902","54,008","55,344"
Jefferson,"59,175","60,131","63,881"
Judith Basin,"47,010","59,569","58,342"
Lake,"47,694","47,042","49,027"
Lewis and Clark,"58,546","58,761","62,214"
Liberty,"56,542","70,479","71,171"
Lincoln,"45,228","45,503","47,487"
McCone,"53,085","54,503","51,063"
Madison,"79,432","71,146","75,313"
Meagher,"48,630","54,342","57,679"
Mineral,"46,922","44,682","48,250"
Missoula,"62,167","64,137","68,344"
Musselshell,"49,717","49,089","51,852"
Park,"60,813","62,235","67,131"
Petroleum,"32,687","40,390","38,300"
Phillips,"43,680","46,718","45,314"
Pondera,"53,858","61,932","65,512"
Powder River,"38,839","45,456","46,200"
Powell,"52,486","48,894","53,396"
Prairie,"50,290","56,437","58,179"
Ravalli,"58,216","59,100","63,195"
Richland,"61,655","67,772","72,410"
Roosevelt,"43,066","44,535","45,113"
Rosebud,"53,515","53,894","55,754"
Sanders,"44,674","43,221","45,599"
Sheridan,"56,366","54,043","55,175"
Silver Bow,"55,074","57,274","60,001"
Stillwater,"68,217","65,161","68,586"
Sweet Grass,"58,041","57,062","60,941"
Teton,"52,564","59,409","60,745"
Toole,"52,180","61,400","64,617"
Treasure,"47,684","57,462","58,733"
Valley,"59,376","61,501","60,061"
Wheatland,"49,099","51,890","52,079"
Wibaux,"49,799","47,503","45,322"
Yellowstone,"61,660","65,402","68,959"


Adams,"59,338","63,874","68,330"
Antelope,"77,614","70,785","76,372"
Arthur,"58,537","54,134","70,075"
Banner,"74,345","72,043","75,754"
Blaine,"64,219","58,573","78,261"
Boone,"76,722","66,550","79,710"
Box Butte,"57,048","57,286","58,744"
Boyd,"80,656","81,951","81,977"
Brown,"68,818","61,796","71,794"
Buffalo,"77,285","69,143","74,630"
Burt,"59,166","55,714","60,531"
Butler,"63,632","66,994","71,971"
Cass,"63,164","64,081","67,310"
Cedar,"68,846","65,429","71,135"
Chase,"76,003","75,661","80,528"
Cherry,"57,962","57,297","66,828"
Cheyenne,"54,397","51,959","53,195"
Clay,"69,130","64,258","69,182"
Colfax,"58,643","57,914","61,048"
Cuming,"78,937","76,417","87,392"
Custer,"62,472","59,378","65,823"
Dakota,"50,057","59,792","62,463"
Dawes,"48,295","46,200","50,264"
Dawson,"53,573","52,615","54,945"
Deuel,"48,833","48,214","48,095"
Dixon,"58,838","58,686","62,851"
Dodge,"57,095","62,279","65,594"
Douglas,"69,875","77,500","81,570"
Dundy,"93,511","99,049","107,381"
Fillmore,"71,093","75,863","82,547"
Franklin,"75,557","61,854","68,950"
Frontier,"58,865","61,050","66,000"
Furnas,"63,895","64,037","70,215"
Gage,"61,357","75,876","80,101"
Garden,"56,396","58,003","62,438"
Garfield,"55,165","51,875","60,193"
Gosper,"70,065","68,979","74,113"
Grant,"59,099","49,990","61,745"
Greeley,"72,130","66,436","75,828"
Hall,"53,265","56,266","59,802"
Hamilton,"68,327","68,681","73,733"
Harlan,"68,998","65,915","74,351"
Hayes,"93,572","87,978","89,965"
Hitchcock,"62,761","64,802","67,709"
Holt,"69,204","64,656","70,612"
Hooker,"46,893","47,330","53,697"
Howard,"58,165","57,267","62,103"
Jefferson,"59,811","58,160","63,034"
Johnson,"45,002","45,805","48,024"
Kearney,"73,058","82,319","94,356"
Keith,"55,895","56,076","60,135"
Keya Paha,"67,641","62,424","66,245"
Kimball,"56,330","61,922","65,186"
Knox,"60,279","63,038","66,048"
Lancaster,"59,355","62,292","66,280"
Lincoln,"62,071","66,947","72,970"
Logan,"58,653","57,815","71,302"
Loup,"65,245","59,454","76,269"
McPherson,"68,945","63,026","86,039"
Madison,"61,053","63,945","67,240"
Merrick,"58,569","60,076","64,821"
Morrill,"71,313","70,562","78,663"
Nance,"55,849","51,705","61,894"
Nemaha,"59,043","57,847","59,432"
Nuckolls,"70,088","66,586","79,865"
Otoe,"60,962","59,145","62,848"
Pawnee,"61,434","58,387","63,343"
Perkins,"92,904","101,933","90,815"
Phelps,"67,363","63,458","70,667"
Pierce,"75,674","104,027","117,544"
Platte,"57,667","58,255","62,340"
Polk,"69,824","69,101","76,182"
Red Willow,"55,636","56,412","60,705"
Richardson,"60,870","58,681","61,331"
Rock,"79,914","78,707","94,000"
Saline,"52,424","52,332","56,359"
Sarpy,"60,033","63,216","66,625"
Saunders,"64,855","67,187","71,628"
Scotts Bluff,"52,453","53,346","57,327"
Seward,"61,217","63,745","68,090"
Sheridan,"65,331","64,629","70,339"
Sherman,"60,792","58,401","65,396"
Sioux,"74,715","71,168","81,581"
Stanton,"61,751","60,729","66,754"
Thayer,"69,960","64,906","71,989"
Thomas,"63,222","66,432","66,656"
Thurston,"57,645","57,441","67,487"
Valley,"66,355","67,364","75,469"
Washington,"68,981","69,904","74,042"
Wayne,"52,492","54,433","58,154"
Webster,"59,798","58,850","65,987"
Wheeler,"72,573","64,134","78,826"
York,"61,303","64,303","68,781"


Churchill,"55,300","54,520","56,685"
Clark,"58,224","60,083","63,767"
Douglas,"94,065","94,710","100,931"
Elko,"53,838","54,868","56,996"
Esmeralda,"66,901","61,482","59,971"
Eureka,"49,261","53,904","49,792"
Humboldt,"54,032","55,845","58,033"
Lander,"73,626","76,744","77,150"
Lincoln,"53,186","50,437","49,718"
Lyon,"46,779","48,096","50,379"
Mineral,"48,789","47,981","50,305"
Nye,"42,989","42,248","44,626"
Pershing,"41,912","41,574","42,673"
Storey,"78,353","76,634","79,728"
Washoe,"74,732","76,485","81,371"
White Pine,"59,235","58,747","63,243"
Carson City,"59,320","59,966","63,498"


Belknap,"71,287","75,351","79,465"
Carroll,"70,081","73,538","78,581"
Cheshire,"65,257","63,605","67,094"
Coos,"52,854","52,958","55,665"
Grafton,"74,348","74,449","79,934"
Hillsborough,"74,634","72,592","76,187"
Merrimack,"66,922","69,730","73,531"
Rockingham,"87,488","91,842","97,082"
Strafford,"60,503","62,842","65,643"
Sullivan,"63,658","64,127","68,216"


Atlantic,"57,601","57,267","60,493"
Bergen,"94,342","96,434","102,229"
Burlington,"69,624","70,908","74,684"
Camden,"61,158","61,989","64,987"
Cape May,"73,283","73,240","78,963"
Cumberland,"48,387","47,815","49,367"
Essex,"74,714","76,488","80,460"
Gloucester,"62,383","62,581","66,061"
Hudson,"73,192","76,360","79,982"
Hunterdon,"98,071","99,652","105,801"
Mercer,"77,551","80,101","84,392"
Middlesex,"69,935","71,364","75,352"
Monmouth,"90,876","94,540","100,477"
Morris,"107,135","109,057","115,850"
Ocean,"59,407","58,742","62,195"
Passaic,"58,270","57,511","60,002"
Salem,"55,390","54,962","57,119"
Somerset,"106,946","113,325","121,076"
Sussex,"70,228","71,343","75,364"
Union,"75,432","78,440","82,502"
Warren,"62,006","63,016","66,483"


Bernalillo,"53,839","56,251","58,895"
Catron,"39,011","41,770","41,950"
Chaves,"46,362","52,730","52,720"
Cibola,"34,108","34,933","35,144"
Colfax,"48,650","49,692","51,567"
Curry,"51,272","56,681","56,323"
De Baca,"56,093","59,243","62,571"
Do�a Ana,"45,696","46,226","47,712"
Eddy,"66,157","71,909","76,555"
Grant,"48,333","51,282","52,958"
Guadalupe,"44,830","44,208","45,873"
Harding,"45,594","50,868","48,556"
Hidalgo,"50,805","53,917","56,047"
Lea,"47,584","54,772","58,422"
Lincoln,"48,792","51,245","54,474"
Los Alamos,"81,289","86,905","91,773"
Luna,"39,011","38,396","40,299"
McKinley,"35,240","35,415","36,133"
Mora,"51,299","54,547","56,989"
Otero,"41,855","42,490","43,353"
Quay,"44,429","48,583","47,250"
Rio Arriba,"42,679","44,598","45,521"
Roosevelt,"46,855","52,777","51,180"
Sandoval,"51,436","53,517","56,559"
San Juan,"42,947","44,161","46,055"
San Miguel,"44,323","45,769","46,983"
Santa Fe,"70,477","72,932","77,717"
Sierra,"48,628","49,419","49,743"
Socorro,"42,568","43,956","45,149"
Taos,"45,820","47,257","49,430"
Torrance,"42,518","45,548","47,308"
Union,"41,890","44,513","40,654"
Valencia,"43,347","45,318","46,944"


Albany,"73,378","73,747","78,464"
Allegany,"42,299","40,738","42,832"
Bronx,"44,244","42,868","44,736"
Broome,"50,085","49,185","52,147"
Cattaraugus,"46,505","46,131","48,342"
Cayuga,"52,361","52,085","53,644"
Chautauqua,"47,702","47,471","49,640"
Chemung,"51,914","52,228","53,850"
Chenango,"50,591","51,381","54,527"
Clinton,"51,644","52,324","55,008"
Columbia,"68,069","70,258","74,642"
Cortland,"48,524","49,104","50,994"
Delaware,"47,197","47,015","50,348"
Dutchess,"66,688","67,456","71,391"
Erie,"57,898","58,469","62,207"
Essex,"54,905","54,906","58,326"
Franklin,"49,230","50,094","53,153"
Fulton,"50,944","51,207","53,781"
Genesee,"50,390","51,259","53,104"
Greene,"57,024","58,017","61,918"
Hamilton,"55,662","54,827","59,276"
Herkimer,"51,246","49,611","52,027"
Jefferson,"52,862","53,146","54,926"
Kings,"62,055","63,773","67,081"
Lewis,"54,056","55,481","56,060"
Livingston,"50,391","50,850","53,117"
Madison,"55,801","56,257","58,687"
Monroe,"59,717","60,262","63,593"
Montgomery,"48,135","48,706","50,879"
Nassau,"96,832","98,634","104,873"
New York,"194,952","199,467","214,991"
Niagara,"52,157","53,148","56,135"
Oneida,"52,669","52,990","56,075"
Onondaga,"60,892","60,833","63,854"
Ontario,"61,620","61,617","64,723"
Orange,"57,682","57,443","60,539"
Orleans,"47,005","46,755","48,729"
Oswego,"48,072","47,486","49,548"
Otsego,"50,957","50,404","53,098"
Putnam,"77,751","79,661","84,598"
Queens,"56,277","57,354","60,271"
Rensselaer,"56,252","57,828","60,836"
Richmond,"62,906","63,035","66,807"
Rockland,"67,805","67,324","71,330"
St. Lawrence,"45,637","45,662","47,495"
Saratoga,"73,988","76,340","81,008"
Schenectady,"57,546","56,958","60,259"
Schoharie,"50,301","50,590","53,174"
Schuyler,"49,869","50,240","52,126"
Seneca,"47,723","48,687","50,044"
Steuben,"54,372","54,991","56,349"
Suffolk,"81,931","83,571","88,816"
Sullivan,"53,925","55,065","57,831"
Tioga,"52,074","52,058","54,765"
Tompkins,"50,211","51,589","54,159"
Ulster,"61,076","62,723","66,314"
Warren,"61,071","62,671","66,384"
Washington,"48,447","48,405","51,044"
Wayne,"54,583","55,162","57,109"
Westchester,"119,431","123,147","130,834"
Wyoming,"50,462","50,903","50,759"
Yates,"49,593","50,689","51,837"


Alamance,"48,449","49,338","51,405"
Alexander,"46,187","48,883","49,694"
Alleghany,"45,359","44,408","46,732"
Anson,"48,382","51,718","51,004"
Ashe,"44,235","45,135","48,453"
Avery,"44,731","47,081","50,256"
Beaufort,"55,108","54,654","57,387"
Bertie,"48,782","49,868","49,592"
Bladen,"48,214","49,872","50,481"
Brunswick,"57,682","58,544","62,104"
Buncombe,"59,007","61,970","66,288"
Burke,"44,608","45,654","47,560"
Cabarrus,"53,184","55,039","57,694"
Caldwell,"44,280","45,684","47,398"
Camden,"55,922","55,812","60,407"
Carteret,"62,248","64,180","68,500"
Caswell,"41,895","41,737","43,437"
Catawba,"53,990","55,157","57,624"
Chatham,"77,245","81,480","85,995"
Cherokee,"39,715","40,143","41,999"
Chowan,"51,050","50,911","54,599"
Clay,"43,734","44,822","47,138"
Cleveland,"44,736","45,858","47,778"
Columbus,"44,350","44,453","45,922"
Craven,"54,078","54,757","58,120"
Cumberland,"45,986","46,490","48,345"
Currituck,"57,524","58,219","63,750"
Dare,"72,478","73,954","79,309"
Davidson,"48,155","49,499","51,406"
Davie,"59,130","60,577","63,324"
Duplin,"51,663","55,920","53,711"
Durham,"58,161","61,013","64,059"
Edgecombe,"44,388","45,028","47,194"
Forsyth,"56,581","57,884","60,481"
Franklin,"46,124","47,038","49,691"
Gaston,"48,995","50,059","52,373"
Gates,"49,613","51,039","52,872"
Graham,"42,914","41,437","44,387"
Granville,"46,820","47,890","49,896"
Greene,"39,339","40,014","40,266"
Guilford,"54,451","56,680","59,170"
Halifax,"44,635","45,221","46,895"
Harnett,"44,304","45,691","47,518"
Haywood,"49,522","50,797","53,755"
Henderson,"53,644","55,447","59,258"
Hertford,"44,841","44,447","46,092"
Hoke,"41,707","41,789","43,213"
Hyde,"50,506","49,008","52,292"
Iredell,"61,841","63,480","66,843"
Jackson,"44,064","44,768","46,605"
Johnston,"48,626","50,123","52,757"
Jones,"49,727","50,726","49,621"
Lee,"49,689","50,771","53,310"
Lenoir,"49,934","52,017","53,456"
Lincoln,"56,291","58,351","61,859"
McDowell,"43,835","45,094","47,124"
Macon,"48,104","49,554","52,844"
Madison,"43,325","44,969","47,811"
Martin,"43,195","42,690","44,368"
Mecklenburg,"74,704","78,431","82,500"
Mitchell,"43,772","44,265","47,047"
Montgomery,"45,830","47,077","48,050"
Moore,"61,430","64,619","68,180"
Nash,"50,167","50,899","53,389"
New Hanover,"60,036","61,719","64,831"
Northampton,"47,345","48,587","49,507"
Onslow,"51,268","51,772","53,594"
Orange,"75,780","77,427","82,487"
Pamlico,"52,521","53,398","56,687"
Pasquotank,"47,184","47,844","50,974"
Pender,"49,575","51,270","53,382"
Perquimans,"53,174","53,527","56,511"
Person,"45,885","46,725","48,911"
Pitt,"52,984","54,090","56,956"
Polk,"58,935","62,448","67,589"
Randolph,"46,224","47,418","48,970"
Richmond,"45,127","46,235","47,384"
Robeson,"41,678","42,544","43,550"
Rockingham,"45,539","46,271","48,622"
Rowan,"46,472","46,695","49,008"
Rutherford,"42,177","42,656","44,091"
Sampson,"46,111","48,389","46,676"
Scotland,"42,198","41,779","42,838"
Stanly,"47,770","48,450","50,394"
Stokes,"46,605","47,087","49,687"
Surry,"48,222","49,633","51,241"
Swain,"50,591","52,757","55,328"
Transylvania,"53,367","56,487","60,160"
Tyrrell,"47,289","43,385","46,213"
Union,"64,609","69,515","72,553"
Vance,"44,845","43,878","45,762"
Wake,"74,254","77,172","81,322"
Warren,"38,833","37,630","39,006"
Washington,"46,971","45,983","48,759"
Watauga,"46,588","49,431","53,013"
Wayne,"49,199","49,441","50,748"
Wilkes,"45,937","49,022","49,350"
Wilson,"48,905","49,979","52,627"
Yadkin,"46,773","48,584","49,886"
Yancey,"42,049","43,097","45,449"


Adams,"57,425","60,540","54,673"
Barnes,"66,724","74,498","74,136"
Benson,"57,798","67,142","60,006"
Billings,"87,420","81,992","89,603"
Bottineau,"71,633","89,085","82,191"
Bowman,"76,753","72,052","72,257"
Burke,"72,214","102,766","89,281"
Burleigh,"69,292","72,475","75,321"
Cass,"67,315","70,054","73,185"
Cavalier,"89,608","134,668","106,795"
Dickey,"77,372","98,283","99,866"
Divide,"65,500","75,396","68,807"
Dunn,"89,674","102,734","103,731"
Eddy,"74,644","89,966","83,562"
Emmons,"76,484","90,699","69,003"
Foster,"81,302","87,119","83,274"
Golden Valley,"63,111","54,794","49,510"
Grand Forks,"58,795","61,342","63,280"
Grant,"60,763","64,168","53,999"
Griggs,"78,805","94,469","86,194"
Hettinger,"60,419","68,332","55,263"
Kidder,"78,548","81,251","77,327"
LaMoure,"74,888","93,583","91,051"
Logan,"70,458","83,402","72,030"
McHenry,"74,833","77,590","75,774"
McIntosh,"82,417","85,598","74,321"
McKenzie,"69,165","80,199","84,357"
McLean,"79,041","77,818","72,821"
Mercer,"66,501","65,091","66,823"
Morton,"61,139","61,985","63,288"
Mountrail,"75,049","84,238","80,515"
Nelson,"70,521","91,892","83,523"
Oliver,"64,784","61,270","55,494"
Pembina,"82,999","89,439","83,598"
Pierce,"68,619","73,779","66,771"
Ramsey,"61,489","69,253","67,469"
Ransom,"66,304","76,315","78,909"
Renville,"77,838","115,018","94,262"
Richland,"62,429","66,418","70,746"
Rolette,"53,542","57,923","56,859"
Sargent,"81,539","92,516","96,135"
Sheridan,"80,956","94,356","67,934"
Sioux,"37,931","40,216","37,765"
Slope,"61,757","63,588","47,105"
Stark,"63,161","68,511","71,645"
Steele,"90,694","108,761","97,896"
Stutsman,"61,487","67,769","68,370"
Towner,"76,202","126,992","101,180"
Traill,"67,028","74,288","72,754"
Walsh,"65,964","75,056","70,222"
Ward,"59,766","64,213","66,524"
Wells,"82,757","105,635","89,429"
Williams,"63,209","72,824","75,412"


Adams,"44,417","43,289","46,026"
Allen,"50,199","50,956","54,010"
Ashland,"47,702","48,234","51,242"
Ashtabula,"46,451","47,692","50,508"
Athens,"42,586","41,207","42,018"
Auglaize,"55,680","56,903","60,383"
Belmont,"46,432","48,305","51,534"
Brown,"46,376","46,963","49,102"
Butler,"55,305","55,773","58,192"
Carroll,"47,751","48,377","50,809"
Champaign,"49,464","49,295","51,945"
Clark,"47,583","48,079","50,553"
Clermont,"62,127","60,505","63,599"
Clinton,"50,610","51,710","53,901"
Columbiana,"45,491","45,358","47,871"
Coshocton,"43,032","42,480","44,741"
Crawford,"47,647","46,196","48,370"
Cuyahoga,"62,649","64,743","68,360"
Darke,"52,601","52,754","56,920"
Defiance,"48,163","48,211","50,168"
Delaware,"85,412","88,101","93,124"
Erie,"57,327","58,127","61,964"
Fairfield,"54,874","55,754","58,194"
Fayette,"47,962","47,714","49,752"
Franklin,"59,783","61,148","63,874"
Fulton,"53,222","53,986","56,773"
Gallia,"46,340","47,433","50,025"
Geauga,"80,102","81,363","86,579"
Greene,"59,848","60,765","64,628"
Guernsey,"49,038","48,997","51,043"
Hamilton,"70,050","72,124","75,833"
Hancock,"56,957","59,676","62,204"
Hardin,"40,605","40,521","42,958"
Harrison,"46,119","46,777","50,642"
Henry,"52,854","53,340","55,580"
Highland,"44,693","44,727","46,608"
Hocking,"45,847","46,133","48,115"
Holmes,"54,643","57,229","60,632"
Huron,"48,297","48,452","50,983"
Jackson,"42,194","41,551","43,799"
Jefferson,"46,277","46,523","48,346"
Knox,"51,789","52,465","55,379"
Lake,"59,057","60,002","63,667"
Lawrence,"47,217","48,423","51,367"
Licking,"55,489","55,888","58,710"
Logan,"49,058","49,418","51,515"
Lorain,"54,866","56,092","59,141"
Lucas,"53,557","54,372","57,012"
Madison,"51,058","53,654","54,404"
Mahoning,"51,548","51,805","54,630"
Marion,"42,842","43,623","45,112"
Medina,"64,212","66,713","70,562"
Meigs,"43,109","42,418","44,864"
Mercer,"60,315","61,668","67,802"
Miami,"55,880","56,741","60,457"
Monroe,"43,528","42,773","44,894"
Montgomery,"54,837","55,269","58,304"
Morgan,"43,791","43,282","45,751"
Morrow,"49,483","49,234","51,281"
Muskingum,"49,464","50,018","52,225"
Noble,"32,537","31,558","33,492"
Ottawa,"61,961","62,901","66,465"
Paulding,"49,560","51,024","54,129"
Perry,"46,471","46,862","48,777"
Pickaway,"51,070","50,582","52,884"
Pike,"46,171","46,256","48,745"
Portage,"53,595","54,099","57,326"
Preble,"49,199","49,618","52,241"
Putnam,"59,256","59,941","63,830"
Richland,"45,386","45,660","48,116"
Ross,"45,483","45,237","46,934"
Sandusky,"49,354","49,522","52,046"
Scioto,"46,139","46,568","49,423"
Seneca,"48,486","48,334","50,248"
Shelby,"52,729","52,987","55,606"
Stark,"53,251","54,142","56,961"
Summit,"61,356","61,272","64,598"
Trumbull,"46,077","46,766","49,159"
Tuscarawas,"50,875","54,411","57,335"
Union,"66,885","69,362","73,664"
Van Wert,"50,212","50,245","53,340"
Vinton,"41,447","41,177","43,796"
Warren,"70,879","73,523","77,881"
Washington,"51,416","51,493","55,168"
Wayne,"53,416","54,071","58,161"
Williams,"49,011","50,014","52,187"
Wood,"55,558","57,080","59,887"
Wyandot,"55,189","55,904","59,710"


Adair,"40,661","42,294","42,679"
Alfalfa,"43,699","44,782","48,610"
Atoka,"36,041","35,463","37,738"
Beaver,"68,837","69,077","69,284"
Beckham,"39,067","39,306","42,510"
Blaine,"48,847","52,642","54,975"
Bryan,"44,460","44,252","46,331"
Caddo,"45,128","45,032","47,172"
Canadian,"51,670","52,491","56,000"
Carter,"48,896","51,033","53,086"
Cherokee,"41,527","40,971","43,232"
Choctaw,"41,052","39,347","43,172"
Cimarron,"71,364","70,254","80,911"
Cleveland,"50,333","51,830","54,522"
Coal,"43,835","43,528","46,976"
Comanche,"48,172","48,383","51,375"
Cotton,"51,853","52,172","54,529"
Craig,"43,226","45,000","47,115"
Creek,"47,665","48,209","50,595"
Custer,"46,265","47,562","49,244"
Delaware,"41,500","44,338","46,212"
Dewey,"48,306","52,184","60,783"
Ellis,"58,081","61,682","63,914"
Garfield,"48,039","49,362","51,152"
Garvin,"49,751","47,988","50,882"
Grady,"47,337","48,128","50,790"
Grant,"58,160","56,929","62,676"
Greer,"35,252","36,515","39,560"
Harmon,"50,741","57,108","60,399"
Harper,"60,345","62,012","66,533"
Haskell,"42,833","44,500","46,167"
Hughes,"48,815","46,260","46,378"
Jackson,"49,858","51,752","54,031"
Jefferson,"40,248","43,106","44,947"
Johnston,"44,601","45,620","50,204"
Kay,"49,022","48,259","49,623"
Kingfisher,"66,963","71,339","73,533"
Kiowa,"45,083","47,698","47,696"
Latimer,"39,740","39,980","42,400"
Le Flore,"40,105","41,819","43,023"
Lincoln,"45,690","44,048","46,586"
Logan,"47,746","48,562","51,254"
Love,"43,834","43,696","45,712"
McClain,"53,444","54,929","58,603"
McCurtain,"43,277","44,587","46,108"
McIntosh,"42,347","42,046","44,389"
Major,"47,521","47,856","51,281"
Marshall,"44,084","45,830","48,734"
Mayes,"44,901","45,122","47,773"
Murray,"46,911","47,934","51,005"
Muskogee,"44,411","45,366","47,792"
